Project Name	Sample Number	Station ID	Sample Date	Sample Time	Sample Type	Cost Code	Agency Bill Code	Trip ID	Sample Description	Collector	Sample Received Date	Chain of Custody	Replicate Number	Test Number	Method Agency	Method ID	Method Description	Param Description	CAS Number	Matrix Description	Problem Identifier	Result Code	Result Value	Lower Report Limit	Method Detect Limit	Sample Detect Limit	Sample Report Limit	Units	Dilution Factor	Batch Number	Analysis Date	Project Comment	Sample Comment	Test Comment	Result Comment
C2019-06582	2221499		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490791	EPA 	 120.1	EPA 120.1 Specific Conductivity	Conductivity		Water			1100	2	0.083	0.083	2	UMHOS-CM	1	EPA120.1-20191204-1	12/04/2019 12:00:00 AM				
C2019-06582	2221499		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490789	EPA 	 160.1	EPA 160.1 Total Dissolved Solids (TDS)	Total Dissolved Solids		Water			630	20.00	11.7	11.7	20.0	MG-L	1	EPA160.1-20191202-2	11/27/2019 12:00:00 AM				
C2019-06582	2221499		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490790	EPA 	 160.2	EPA 160.2 Total Suspended Solids (TSS)	Total Suspended Solids		Water	<	U	4.0	4.000	1.488	1.49	4.00	MG-L	1	EPA160.2-20191202-1	11/27/2019 12:00:00 AM				
C2019-06582	2221499		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490785	EPA 	 180.1	EPA Method 180.1 Turbidity	Turbidity		Water		W	1.11	0.1	0.096	0.096	0.1	NTU	1	EPA180.1-20191127-1	11/27/2019 12:00:00 AM				
C2019-06582	2221499		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490787	EPA 	 325.2	EPA Method 325.2 Chloride	Chloride	16887-00-6	Water			153	3.5	0.44	0.44	3.5	MG-L	1	EPA325.2-20191202-1	12/02/2019 12:00:00 AM				
C2019-06582	2221499		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490786	EPA 	 375.2	EPA Method 375.2 Sulfate	Sulfate	14808-79-8	Water			54.5	20.00	9.04	9.04	20.0	MG-L	1	EPA375.2-20191203-1	12/03/2019 12:00:00 AM				
C2019-06582	2221499		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490788	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Alkalinity as Calcium Carbonate		Water			253	4	3.68	3.68	4	MG-L	1	SM2320B-20191203-1	12/03/2019 12:00:00 AM				
C2019-06582	2221499		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490788	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Alkalinity as Carbonate		Water			152	0.001	0.001	0.001	0.001	MG-L	1	SM2320B-20191203-1	12/03/2019 12:00:00 AM				
C2019-06582	2221499		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490788	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Bicarbonate	71-52-3	Water			308	0.001	0.001	0.001	0.001	MG-L	1	SM2320B-20191203-1	12/03/2019 12:00:00 AM				
C2019-06582	2221499		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490788	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Carbonate	3812-32-6	Water		U	0	0.001	0.001	0.001	0.001	MG-L	1	SM2320B-20191203-1	12/03/2019 12:00:00 AM				
